run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260816T142838Z,probe_skel_only,none,1,123393401,1,3,3.0017,48,1.43599,0.0,1.43599,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03165, ""eig_by_target"": {""0"": 0.52047, ""1"": 1.03165, ""2"": 0.0423, ""3"": 1.03165, ""4"": 0.42506}}"
20260816T142838Z,probe,gpt-4o-mini-2024-07-18,1,295485567,1,3,11.7039,48,1.65656,1.09861,0.55795,0.33333,0.5,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.47339, ""eig_by_target"": {""0"": 1.25294, ""1"": 0.8472, ""2"": 1.4255, ""3"": 1.47339, ""4"": 0.84553, ""5"": 0.84489}}"
20260816T142838Z,probe,gpt-4o-mini-2024-07-18,1,295485567,2,2,6.056,48,1.09861,0.0,1.09861,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""2"": 1.09861, ""4"": 0.69428, ""5"": 0.63651}}"
20260816T142838Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,123393401,1,1,3.5703,48,2.45465,1.45565,0.999,0.33287,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.50492, ""eig_by_target"": {""0"": 0.70652, ""1"": 1.50492, ""2"": 0.04799, ""3"": 1.21108, ""4"": 0.86421}}"
20260816T142838Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,123393401,2,3,3.0017,48,1.45565,0.79282,0.66283,0.66295,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72631, ""eig_by_target"": {""0"": 0.70301, ""1"": 0.10199, ""3"": 0.72631}}"
20260816T142838Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,1,3.5703,48,2.45465,1.45565,0.999,0.33287,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.50492, ""eig_by_target"": {""0"": 0.70652, ""1"": 1.50492, ""2"": 0.04799, ""3"": 1.21108, ""4"": 0.86421}}"
20260816T142838Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,3,3.0017,48,1.45565,0.79282,0.66283,0.66295,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72631, ""eig_by_target"": {""0"": 0.70301, ""1"": 0.10199, ""3"": 0.72631}}"
20260816T142838Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,295485567,1,3,11.7039,48,1.65656,1.09861,0.55795,0.33333,0.5,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.47339, ""eig_by_target"": {""0"": 1.25294, ""1"": 0.8472, ""2"": 1.4255, ""3"": 1.47339, ""4"": 0.84553, ""5"": 0.84489}}"
20260816T142838Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,295485567,2,2,6.056,48,1.09861,0.0,1.09861,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""2"": 1.09861, ""4"": 0.69428, ""5"": 0.63651}}"
20260816T142838Z,probe_skel_only,none,1,295485567,1,2,6.056,32,1.79221,0.0,1.79221,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.15135, ""eig_by_target"": {""0"": 0.45101, ""1"": 0.63696, ""2"": 1.15135, ""3"": 0.89633, ""4"": 0.45101, ""5"": 0.45101}}"
