arm,model_tag,level,n,directed_f1,selection_regret_total,cost_usd
eig+llm,gpt-4o-mini-2024-07-18,1,10,0.412 ±0.156,0.300 ±0.299,0.000 ±0.000
eig+llm,gpt-4o-mini-2024-07-18,2,10,0.355 ±0.087,0.200 ±0.261,0.000 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,0.542 ±0.129,0.300 ±0.299,0.001 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,0.540 ±0.084,0.200 ±0.261,0.000 ±0.000
eig+meek,none,1,10,0.812 ±0.096,0.300 ±0.299,—
eig+meek,none,2,10,0.710 ±0.119,0.200 ±0.261,—
llm+llm,gpt-4o-mini-2024-07-18,1,10,0.418 ±0.163,0.100 ±0.196,0.000 ±0.000
llm+llm,gpt-4o-mini-2024-07-18,2,10,0.412 ±0.088,0.600 ±0.784,0.000 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,0.542 ±0.129,0.400 ±0.433,0.001 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,0.472 ±0.126,0.300 ±0.588,0.001 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,1,10,0.812 ±0.096,0.100 ±0.196,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,2,10,0.686 ±0.120,0.600 ±0.784,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,1,10,0.799 ±0.104,0.400 ±0.433,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,2,10,0.667 ±0.114,0.300 ±0.588,0.000 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,1,10,0.000 ±0.000,—,0.001 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,2,10,0.000 ±0.000,—,0.001 ±0.000
llm_e2e,qwen3-coder-30b-a3b-instruct,1,10,0.186 ±0.092,—,0.003 ±0.000
llm_e2e,qwen3-coder-30b-a3b-instruct,2,10,0.220 ±0.096,—,0.004 ±0.001
maxdeg+llm,gpt-4o-mini-2024-07-18,1,10,0.430 ±0.166,0.300 ±0.299,0.000 ±0.000
maxdeg+llm,gpt-4o-mini-2024-07-18,2,10,0.362 ±0.101,0.100 ±0.196,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,1,10,0.512 ±0.168,0.300 ±0.299,0.001 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,2,10,0.522 ±0.073,0.100 ±0.196,0.001 ±0.000
maxdeg+meek,none,1,10,0.812 ±0.096,0.300 ±0.299,—
maxdeg+meek,none,2,10,0.710 ±0.119,0.100 ±0.196,—
oracle+llm,gpt-4o-mini-2024-07-18,1,10,0.413 ±0.159,0.000 ±0.000,0.000 ±0.000
oracle+llm,gpt-4o-mini-2024-07-18,2,10,0.421 ±0.090,0.000 ±0.000,0.000 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,1,10,0.536 ±0.127,0.000 ±0.000,0.001 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,2,10,0.493 ±0.050,0.000 ±0.000,0.001 ±0.000
oracle+meek,none,1,10,0.789 ±0.114,0.000 ±0.000,—
oracle+meek,none,2,10,0.665 ±0.136,0.000 ±0.000,—
random+llm,gpt-4o-mini-2024-07-18,1,10,0.449 ±0.162,1.600 ±1.212,0.000 ±0.000
random+llm,gpt-4o-mini-2024-07-18,2,10,0.401 ±0.102,2.500 ±2.152,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,1,10,0.538 ±0.132,1.600 ±1.212,0.001 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,2,10,0.465 ±0.146,2.500 ±2.152,0.001 ±0.000
random+meek,none,1,10,0.721 ±0.122,1.600 ±1.212,—
random+meek,none,2,10,0.636 ±0.107,2.500 ±2.152,—
