graph,condition,run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
cancer,shared,20260820T055114Z,pc_greedy_meek,none,-1,20260820,1,2,4.3931,,,,,,0.85714,,3,0,
cancer,shared,20260820T055114Z,probe_skel_only,none,-1,20260820,1,2,4.3931,8,1.38629,0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""1"": 0.56234, ""2"": 1.38629, ""3"": 0.56234, ""4"": 0.28768}}"
cancer,shared,20260820T055114Z,probe_random_edits,none,-1,20260820,1,2,4.3931,48,1.09912,0.72684,0.37228,0.76746,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09912, ""eig_by_target"": {""0"": 0.0005, ""1"": 0.75254, ""2"": 1.09912, ""3"": 0.75254, ""4"": 0.00049}}"
cancer,named,20260820T055114Z,probe,gemini-3-flash-preview,-1,20260820,1,2,4.3931,48,1.70403,0.33177,1.37226,0.92078,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.14501, ""eig_by_target"": {""0"": 1.05639, ""1"": 0.58028, ""2"": 1.14501, ""3"": 0.28854, ""4"": 0.93122}}"
cancer,shared,20260820T055114Z,pc_greedy_meek,none,-1,20260821,1,1,5.7296,,,,,,1.0,,4,1,
cancer,anon,20260820T055114Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,4.3931,48,1.09912,0.74248,0.35664,0.76554,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09912, ""eig_by_target"": {""0"": 0.0005, ""1"": 0.75254, ""2"": 1.09912, ""3"": 0.69478, ""4"": -0.00152}}"
cancer,anon,20260820T055114Z,probe,gemini-3-flash-preview,-1,20260820,1,2,4.3931,48,1.70403,0.33177,1.37226,0.92078,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.14501, ""eig_by_target"": {""0"": 1.05639, ""1"": 0.58028, ""2"": 1.14501, ""3"": 0.28854, ""4"": 0.93122}}"
cancer,anon,20260820T055114Z,probe,claude-haiku-4.5,-1,20260820,1,2,4.3931,36,1.09861,0.33177,0.76684,0.92078,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.63651}}"
cancer,named,20260820T055114Z,probe,claude-haiku-4.5,-1,20260820,1,2,4.3931,48,1.09861,0.71178,0.38683,0.82183,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.63651}}"
cancer,shared,20260820T055114Z,probe_skel_only,none,-1,20260821,1,1,5.7296,24,2.30259,0.69315,1.60944,0.5,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72496, ""eig_by_target"": {""0"": 1.25184, ""1"": 1.72496, ""2"": 1.36854, ""3"": 0.45419, ""4"": 0.68524}}"
