run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T055113Z,llm_e2e,gpt-4o-mini-2024-07-18,0,123393401,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X0 to observe the effect on other variables and determine causal relationships.""}"
20260820T055113Z,llm_e2e,gpt-4o-mini-2024-07-18,0,123393401,2,1,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X1 to observe the effect on other variables and to help determine the causal structure.""}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260820T055113Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_skel_only,none,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,probe_random_hyp,none,0,123393401,1,3,11.2502,12,0.10053,0.0,0.10053,1.0,0.5,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.10053, ""eig_by_target"": {""1"": 0.07299, ""2"": 0.05327, ""3"": 0.10053}}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,1,5.0761,8,1.38629,0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""random""}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,123393401,1,1,5.0761,48,2.34929,0.0,2.34929,1.0,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.5}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.9725}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.0}"
20260820T055113Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,2.07944,-0.0,2.07944,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.07944, ""eig_by_target"": {""0"": 1.62169, ""1"": 1.80479, ""2"": 1.71324, ""3"": 2.07944}}"
20260820T055113Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,3.8712,0.69315,3.17805,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 3.16306, ""eig_by_target"": {""0"": 2.44204, ""1"": 1.18024, ""2"": 2.38912, ""3"": 3.16306}}"
20260820T055113Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,1.38629,0.0,0.25,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,123393401,2,3,11.2502,8,1.38629,1.38629,0.0,0.25,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.74544, ""1"": 0.56234, ""2"": 0.74544, ""3"": 1.38629}}"
20260820T055113Z,probe_marginal,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,probe_marginal,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260820T055113Z,probe_marginal,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_random_edits,none,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.01917, ""eig_by_target"": {""0"": 0.93687, ""1"": 0.90785, ""2"": 0.71855, ""3"": 2.01917}}"
20260820T055113Z,probe_no_update,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,2.34929,0.0,0.11605,0.25,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260820T055113Z,probe_no_update,gpt-4o-mini-2024-07-18,0,123393401,2,3,11.2502,48,2.34929,2.34929,0.0,0.11605,0.25,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72587, ""eig_by_target"": {""0"": 0.86682, ""1"": 1.34873, ""2"": 1.52738, ""3"": 1.72587}}"
20260820T055113Z,probe_oracle_edits,none,0,123393401,1,3,11.2502,20,2.25628,0.69315,1.56313,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.70635, ""eig_by_target"": {""0"": 0.56614, ""1"": 1.36851, ""2"": 1.34221, ""3"": 1.70635}}"
20260820T055113Z,probe_oracle_edits,none,0,123393401,2,1,5.0761,20,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_noreserve,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,llm_e2e,qwen3-coder-30b-a3b-instruct,0,123393401,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""I will intervene on variable X0, setting it to a value far from its observational mean (0.03). This should help identify causal relationships since interventions sever incoming edges and force the variable to the intervened value. I'll choose 10 as the value, which is well outside the typical range of the data.""}"
20260820T055113Z,llm_e2e,qwen3-coder-30b-a3b-instruct,0,123393401,2,1,5.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""I will intervene on variable X1, setting it to a value far from its observational mean (0.025) to detect changes in downstream variables. I choose 5.0 as the value, which is well outside the typical range of observed values for X1 (approximately -4.5 to 4.5). This should help identify causal relationships involving X1.""}"
20260820T055113Z,probe_random_edits_noreserve,none,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.90044, ""eig_by_target"": {""0"": 1.02066, ""1"": 1.02652, ""2"": 0.73365, ""3"": 1.90044}}"
20260820T055113Z,probe_noreserve,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.22382,0.69315,1.53067,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.69014, ""eig_by_target"": {""0"": 0.6036, ""1"": 1.3188, ""2"": 1.30544, ""3"": 1.69014}}"
20260820T055113Z,probe_noreserve,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,probe_oracle_edits_noreserve,none,0,123393401,1,3,11.2502,20,2.25628,0.69315,1.56313,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.63434, ""eig_by_target"": {""0"": 0.59738, ""1"": 1.43245, ""2"": 1.30697, ""3"": 1.63434}}"
20260820T055113Z,probe_oracle_edits_noreserve,none,0,123393401,2,1,5.0761,20,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T055113Z,pc_greedy,none,0,295485567,1,1,2.9872,,,,,,0.85714,,3,1,
20260820T055113Z,pc_greedy,none,0,295485567,2,2,8.2936,,,,,,1.0,,1,0,
20260820T055113Z,pc_greedy_meek,none,0,295485567,1,1,2.9872,,,,,,0.85714,,3,1,
20260820T055113Z,pc_greedy_meek,none,0,295485567,2,2,8.2936,,,,,,1.0,,1,0,
20260820T055113Z,probe_llm_graphs,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,4,0.50583,0.01489,0.49095,0.99802,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.44834, ""eig_by_target"": {""0"": -0.0, ""1"": 0.07316, ""2"": 0.18655, ""3"": 0.44834}}"
20260820T055113Z,probe_llm_graphs,qwen3-coder-30b-a3b-instruct,0,123393401,2,3,11.2502,4,0.01489,0.00111,0.01378,0.9999,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01221, ""eig_by_target"": {""0"": 0.0, ""1"": 0.00567, ""2"": -0.00956, ""3"": 0.01221}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.42402, ""1"": 1.96403, ""2"": 1.40944, ""3"": 1.24154}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.42402, ""1"": 1.96403, ""2"": 1.40944, ""3"": 1.24154}}"
20260820T055113Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,6,0.26766,0.00015,0.26751,0.99999,0.75,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.2627, ""eig_by_target"": {""0"": 0.0, ""1"": 0.03112, ""2"": 0.06915, ""3"": 0.2627}}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.73381,1.53191,1.20189,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.424, ""1"": 1.96403, ""2"": 1.40943, ""3"": 1.24154}}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.73381,1.53191,1.20189,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.424, ""1"": 1.96403, ""2"": 1.40943, ""3"": 1.24154}}"
20260820T055113Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_skel_only,none,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260820T055113Z,probe_skel_only,none,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260820T055113Z,probe_mec_only,none,0,295485567,1,1,2.9872,8,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260820T055113Z,probe_mec_only,none,0,295485567,2,2,8.2936,8,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,0,5.0128,48,2.73381,2.39884,0.33497,0.13908,0.75,5,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,1,2.9872,48,2.39884,1.53065,0.86819,0.37947,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,3,0,5.0128,48,1.53065,1.5298,0.00085,0.34567,0.88889,2,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,1,0,5.0128,48,2.73382,2.39884,0.33498,0.13908,0.75,5,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,2,1,2.9872,48,2.39884,1.53065,0.86819,0.37947,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,1.53065,1.5298,0.00085,0.34567,0.88889,2,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.73381,1.53191,1.20189,0.38849,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0029}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.1117}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 0.1143}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0029}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.1117}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 0.1143}"
20260820T055113Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X0 to observe the effect on other variables and determine causal relationships.""}"
20260820T055113Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,2,1,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X1 to observe the effect on other variables and determine causal relationships.""}"
20260820T055113Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,3,2,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X2 to observe the effect on other variables and to help determine the causal structure.""}"
20260820T055113Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,295485567,1,2,8.2936,48,3.8712,2.49751,1.37369,0.08337,0.75,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.93037, ""eig_by_target"": {""0"": 1.61156, ""1"": 2.374, ""2"": 2.93037, ""3"": 2.25102}}"
20260820T055113Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,295485567,2,1,2.9872,48,2.49751,1.39731,1.1002,0.28583,0.88889,4,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.47792, ""eig_by_target"": {""0"": 1.19474, ""1"": 1.47792, ""2"": 0.01717, ""3"": 0.82701}}"
20260820T055113Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,295485567,3,3,6.4825,48,1.39731,1.22541,0.1719,0.42874,0.88889,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.35246, ""eig_by_target"": {""0"": 0.19343, ""2"": 0.01028, ""3"": 0.35246}}"
20260820T055113Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,295485567,1,2,8.2936,48,3.8712,2.49751,1.37369,0.08337,0.75,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.8728, ""eig_by_target"": {""0"": 1.50688, ""1"": 2.30698, ""2"": 2.8728, ""3"": 2.35366}}"
20260820T055113Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,295485567,2,1,2.9872,48,2.49751,1.39731,1.1002,0.28583,0.88889,4,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.47792, ""eig_by_target"": {""0"": 1.19474, ""1"": 1.47792, ""2"": 0.01717, ""3"": 0.82701}}"
20260820T055113Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,295485567,3,3,6.4825,48,1.39731,1.22541,0.1719,0.42874,0.88889,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.35246, ""eig_by_target"": {""0"": 0.19343, ""2"": 0.01028, ""3"": 0.35246}}"
20260820T055113Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.73381,2.73381,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.424, ""1"": 1.96403, ""2"": 1.40943, ""3"": 1.24154}}"
20260820T055113Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,295485567,2,1,2.9872,48,2.73381,2.73381,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.91115, ""eig_by_target"": {""0"": 0.45403, ""1"": 1.91115, ""2"": 1.44725, ""3"": 1.33577}}"
20260820T055113Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,295485567,3,1,2.9872,48,2.73381,2.73381,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.88538, ""eig_by_target"": {""0"": 0.94321, ""1"": 1.88538, ""2"": 1.26789, ""3"": 1.39424}}"
20260820T055113Z,probe_no_update,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,2.73382,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.42402, ""1"": 1.96403, ""2"": 1.40944, ""3"": 1.24154}}"
20260820T055113Z,probe_no_update,gpt-4o-mini-2024-07-18,0,295485567,2,1,2.9872,48,2.73382,2.73382,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.91116, ""eig_by_target"": {""0"": 0.45404, ""1"": 1.91116, ""2"": 1.44726, ""3"": 1.33577}}"
20260820T055113Z,probe_no_update,gpt-4o-mini-2024-07-18,0,295485567,3,1,2.9872,48,2.73382,2.73382,0.0,0.10391,0.25,7,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.88539, ""eig_by_target"": {""0"": 0.94322, ""1"": 1.88539, ""2"": 1.26791, ""3"": 1.39425}}"
20260820T055113Z,probe_marginal,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.73381,1.53191,1.20189,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.424, ""1"": 1.96403, ""2"": 1.40943, ""3"": 1.24154}}"
20260820T055113Z,probe_marginal,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe_marginal,qwen3-coder-30b-a3b-instruct,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_marginal,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.42402, ""1"": 1.96403, ""2"": 1.40944, ""3"": 1.24154}}"
20260820T055113Z,probe_marginal,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe_marginal,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,0.63959,0.81204,-0.17245,0.64134,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.05456, ""eig_by_target"": {""0"": 0.05456, ""2"": -0.00702, ""3"": 0.01013}}"
20260820T055113Z,probe_random_edits,none,0,295485567,1,1,2.9872,48,2.44146,1.17351,1.26795,0.43417,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.93792, ""eig_by_target"": {""0"": 0.53975, ""1"": 1.93792, ""2"": 1.49031, ""3"": 1.0255}}"
20260820T055113Z,probe_random_edits,none,0,295485567,2,2,8.2936,48,1.17351,0.23277,0.94074,0.93855,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.78967, ""eig_by_target"": {""0"": -0.03751, ""2"": 0.78967, ""3"": 0.77566}}"
20260820T055113Z,probe_random_edits,none,0,295485567,3,0,5.0128,48,0.23277,0.63296,-0.40019,0.6741,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.09296, ""eig_by_target"": {""0"": 0.09296, ""2"": 0.00196}}"
