hypothesis_source,model_tag,n,directed_f1,truth_in_hypotheses,best_f1_in_hypotheses,n_hypotheses,truth_rank_final
llm whole graphs,gpt-4o-mini-2024-07-18,80,0.649 ±0.050,0.100 ±0.066,0.687 ±0.046,7.775 ±0.722,-0.800 ±0.132
llm whole graphs,qwen3-coder-30b-a3b-instruct,79,0.669 ±0.059,0.203 ±0.089,0.695 ±0.053,5.506 ±0.830,-0.595 ±0.178
llm_repair,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,0.625 ±0.107,0.961 ±0.014,47.325 ±0.701,0.263 ±0.217
llm_repair,qwen3-coder-30b-a3b-instruct,80,0.958 ±0.017,0.662 ±0.104,0.965 ±0.013,45.650 ±1.871,0.338 ±0.212
llm_repair + pc_mec,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,0.625 ±0.107,0.961 ±0.014,47.325 ±0.701,0.263 ±0.217
llm_repair + pc_mec,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,0.662 ±0.104,0.965 ±0.013,45.650 ±1.871,0.338 ±0.212
"llm_repair, no guard",gpt-4o-mini-2024-07-18,80,0.894 ±0.018,0.163 ±0.081,0.904 ±0.016,47.325 ±0.701,-0.675 ±0.163
"llm_repair, no guard",qwen3-coder-30b-a3b-instruct,80,0.909 ±0.019,0.212 ±0.090,0.917 ±0.015,45.650 ±1.871,-0.575 ±0.180
oracle edits (no LLM),none,80,0.996 ±0.006,0.988 ±0.024,0.997 ±0.005,40.425 ±2.939,0.988 ±0.055
"oracle edits, no guard",none,80,0.996 ±0.006,0.988 ±0.024,0.997 ±0.005,40.425 ±2.939,0.988 ±0.055
pc_mec (no LLM),none,80,0.867 ±0.043,0.450 ±0.110,0.868 ±0.043,6.800 ±1.043,-0.100 ±0.219
pc_skeleton (no LLM),none,80,0.901 ±0.036,0.487 ±0.110,0.944 ±0.014,37.475 ±3.623,-0.025 ±0.220
random (no LLM),none,80,0.298 ±0.050,0.025 ±0.034,0.450 ±0.046,12.000 ±0.000,-0.950 ±0.069
random edits (no LLM),none,80,0.936 ±0.025,0.600 ±0.108,0.955 ±0.015,47.625 ±0.210,0.212 ±0.220
"random edits, no guard",none,80,0.879 ±0.028,0.113 ±0.070,0.903 ±0.014,47.625 ±0.210,-0.775 ±0.139
