run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260816T140256Z,llm_e2e,gpt-4o-mini-2024-07-18,0,123393401,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X0 to observe the effect on other variables and determine causal relationships.""}"
20260816T140256Z,llm_e2e,gpt-4o-mini-2024-07-18,0,123393401,2,1,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X1 to observe the effect on other variables and to help determine the causal structure.""}"
20260816T140256Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260816T140256Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260816T140256Z,probe,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260816T140256Z,probe,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260816T140256Z,probe_skel_only,none,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260816T140256Z,probe_random_hyp,none,0,123393401,1,3,11.2502,12,0.10053,0.0,0.10053,1.0,0.5,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.10053, ""eig_by_target"": {""1"": 0.07299, ""2"": 0.05327, ""3"": 0.10053}}"
20260816T140256Z,llm_e2e,qwen3-coder-30b-a3b-instruct,0,123393401,1,0,5.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""I will intervene on variable X0 to determine its causal relationships with other variables.""}"
20260816T140256Z,llm_e2e,qwen3-coder-30b-a3b-instruct,0,123393401,2,0,5.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""I will intervene on variable X0 with a value of 5.0, which is far from its observational mean of 0.03. This intervention should sever all incoming edges to X0 and force it to the value 5.0. Since X0 is the root node in the current graph structure, this intervention will allow us to determine if any downstream variables shift their means, confirming the direction of edges. The intervention will hel""}"
20260816T140256Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,123393401,1,1,5.0761,48,2.34929,0.0,2.34929,1.0,1.0,1,,,"{""rule"": ""random""}"
20260816T140256Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.9725}"
20260816T140256Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.0}"
20260816T140256Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,1,5.0761,44,2.24849,0.62784,1.62065,0.8029,0.85714,-1,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,123393401,2,2,2.7774,44,0.62784,0.88301,-0.25517,0.65531,0.85714,-1,,,"{""rule"": ""random""}"
20260816T140256Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.6159}"
20260816T140256Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9704, ""eig_by_target"": {""0"": 0.92057, ""1"": 0.86937, ""2"": 0.63663, ""3"": 1.9704}}"
20260816T140256Z,probe,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9704, ""eig_by_target"": {""0"": 0.92057, ""1"": 0.86937, ""2"": 0.63663, ""3"": 1.9704}}"
20260816T140256Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,3.78419,1.1039,2.68029,0.33309,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.60526, ""eig_by_target"": {""0"": 2.36215, ""1"": 2.26346, ""2"": 2.1076, ""3"": 2.60526}}"
20260816T140256Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,123393401,2,1,5.0761,44,1.1039,0.01763,1.08628,0.99754,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10034, ""eig_by_target"": {""0"": 1.09598, ""1"": 1.10034, ""2"": 1.08666, ""3"": 0.004}}"
20260816T140256Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,3.8712,0.69315,3.17805,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 3.16306, ""eig_by_target"": {""0"": 2.44204, ""1"": 1.18024, ""2"": 2.38912, ""3"": 3.16306}}"
20260816T140256Z,probe_no_bic,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260816T140256Z,probe_marginal,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9704, ""eig_by_target"": {""0"": 0.92057, ""1"": 0.86937, ""2"": 0.63663, ""3"": 1.9704}}"
20260816T140256Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,2.24849,0.0,0.19203,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9704, ""eig_by_target"": {""0"": 0.92057, ""1"": 0.86937, ""2"": 0.63663, ""3"": 1.9704}}"
20260816T140256Z,probe_no_update,qwen3-coder-30b-a3b-instruct,0,123393401,2,3,11.2502,44,2.24849,2.24849,0.0,0.19203,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.85631, ""eig_by_target"": {""0"": 0.98974, ""1"": 0.73573, ""2"": 0.49086, ""3"": 1.85631}}"
20260816T140256Z,probe_no_update,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,2.34929,0.0,0.11605,0.25,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260816T140256Z,probe_no_update,gpt-4o-mini-2024-07-18,0,123393401,2,3,11.2502,48,2.34929,2.34929,0.0,0.11605,0.25,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72587, ""eig_by_target"": {""0"": 0.86682, ""1"": 1.34873, ""2"": 1.52738, ""3"": 1.72587}}"
20260816T140256Z,probe_marginal,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260816T140256Z,probe_marginal,gpt-4o-mini-2024-07-18,0,123393401,2,1,5.0761,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260816T140256Z,probe,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.44146,1.17351,1.26795,0.43417,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.925, ""eig_by_target"": {""0"": 0.42129, ""1"": 1.925, ""2"": 1.33525, ""3"": 1.1532}}"
20260816T140256Z,probe,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.17351,0.23277,0.94074,0.93855,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.82, ""eig_by_target"": {""0"": 0.15362, ""2"": 0.82, ""3"": 0.70012}}"
20260816T140256Z,probe,gpt-4o-mini-2024-07-18,0,295485567,3,2,8.2936,48,0.23277,0.23027,0.0025,0.93881,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.00095, ""eig_by_target"": {""0"": -0.00786, ""2"": 0.00095}}"
20260816T140256Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.44146,1.17351,1.26795,0.43417,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.925, ""eig_by_target"": {""0"": 0.42129, ""1"": 1.925, ""2"": 1.33525, ""3"": 1.1532}}"
20260816T140256Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.17351,0.23277,0.94074,0.93855,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.82, ""eig_by_target"": {""0"": 0.15362, ""2"": 0.82, ""3"": 0.70012}}"
20260816T140256Z,probe_repair_only,gpt-4o-mini-2024-07-18,0,295485567,3,2,8.2936,48,0.23277,0.23027,0.0025,0.93881,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.00095, ""eig_by_target"": {""0"": -0.00786, ""2"": 0.00095}}"
20260816T140256Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X0 to observe the effect on other variables. This value is far from the observational mean, allowing us to detect shifts in downstream variables.""}"
20260816T140256Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,2,1,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X1 to observe the effect on other variables. This will help determine the causal relationships involving X1.""}"
20260816T140256Z,llm_e2e,gpt-4o-mini-2024-07-18,0,295485567,3,2,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X2 to observe the effect on other variables and to help determine the causal structure.""}"
20260816T140256Z,probe_skel_only,none,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260816T140256Z,probe_skel_only,none,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260816T140256Z,probe_mec_only,none,0,295485567,1,1,2.9872,8,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260816T140256Z,probe_mec_only,none,0,295485567,2,2,8.2936,8,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260816T140256Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,0,5.0128,12,2.07944,1.79176,0.28768,0.16667,0.75,5,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,12,1.79176,0.69315,1.09861,0.5,0.75,2,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,3,1,2.9872,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,1,0,5.0128,48,2.44146,2.16243,0.27903,0.1487,0.75,5,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,2,1,2.9872,48,2.16243,1.24004,0.92239,0.41572,1.0,1,,,"{""rule"": ""random""}"
20260816T140256Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,1.24004,1.32761,-0.08757,0.36642,0.88889,2,,,"{""rule"": ""random""}"
20260816T140256Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260816T140256Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260816T140256Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260816T140256Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260816T140256Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0}"
20260816T140256Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.0}"
20260816T140256Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.44146,1.17351,1.26795,0.43417,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0024}"
20260816T140256Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.17351,0.23277,0.94074,0.93855,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.1193}"
20260816T140256Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,3,0,5.0128,48,0.23277,0.63296,-0.40019,0.6741,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 0.0006}"
20260816T140256Z,probe_no_bic,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,12,2.48491,0.69315,1.79176,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.08057, ""eig_by_target"": {""0"": 1.54108, ""1"": 2.08057, ""2"": 2.07076, ""3"": 2.07076}}"
