graph,condition,run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
cancer,shared,20260820T064424Z,2026-08-20T06:44:24.299124+00:00,study2_semantic,oracle,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,named,20260820T064424Z,2026-08-20T06:44:24.299372+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,1.595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,36,36,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,1,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:24.299284+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,4,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,named,20260820T064424Z,2026-08-20T06:44:24.299333+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,1.624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,3,3,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,shared,20260820T064424Z,2026-08-20T06:44:24.299212+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,1.627,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:25.958207+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,24,0,1,1.0,1,1,0.0,0.0,1.0,,,,,0,1,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,shared,20260820T064424Z,2026-08-20T06:44:25.928533+00:00,study2_semantic,probe_skel_only,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.136,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,8,0,0,0.857143,-1,-1,1.38629,0.0,1.0,,,,,,,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,anon,20260820T064424Z,2026-08-20T06:44:26.066995+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,2,4,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:26.081068+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,2,1,0.857143,3,0,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
cancer,anon,20260820T064424Z,2026-08-20T06:44:26.094396+00:00,study2_semantic,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.283,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,36,36,0,0.857143,-1,-1,1.09861,0.33177,0.92078,,,0,,1,1,1,0.857143,3,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
