run_id,arm,model_tag,level,seed,step,target,value,undirected_before,undirected_after,mec_size_before,mec_entropy_before,mec_exhaustive,true_gain_chosen,true_gain_best,selection_regret,selection_quality,eig_chosen_nats,eig_best_nats,eig_regret_nats,edges_resolved,orientations_correct,orientations_wrong,selector_meta
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,1470120545,1,5,3.2031,3,1,6,1.79176,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 6, ""mec_entropy_nats"": 1.79176, ""mec_exhaustive"": true}"
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,1470120545,2,2,2.8495,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,1470120545,1,5,3.2031,3,1,6,1.79176,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_true_gain"", ""gain"": 2}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,1470120545,2,2,2.8495,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,1004126917,1,4,3.8866,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_true_gain"", ""gain"": 2}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,1470120545,1,1,4.0606,3,2,6,1.79176,1,1,2,1.0,0.5,0.63651,1.09861,0.4621,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X1 will resolve the orientation of the undirected edges between X1 and X5, and potentially reveal the direction of edges involving X2 and X3."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,1470120545,2,2,2.8495,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X2 will resolve the orientation of the undirected edge between X2 and X3, and potentially reveal the direction of edges involving X3 and X4."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,1470120545,3,4,6.6872,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X4 will resolve the undirected edge between X4 and X5, allowing us to determine the direction of the relationship between these variables."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,eig+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,1,5,3.2031,3,1,6,1.79176,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 6, ""mec_entropy_nats"": 1.79176, ""mec_exhaustive"": true}"
20260819T074713Z,eig+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,2,2,2.8495,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,1004126917,1,4,3.8866,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 3, ""mec_entropy_nats"": 1.09861, ""mec_exhaustive"": true}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,1,5,3.2031,3,1,6,1.79176,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_true_gain"", ""gain"": 2}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,2,2,2.8495,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,eig+llm,qwen3-coder-30b-a3b-instruct,1,1004126917,1,4,3.8866,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 3, ""mec_entropy_nats"": 1.09861, ""mec_exhaustive"": true}"
20260819T074713Z,llm+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,1,5,3.2031,3,1,6,1.79176,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X5 will resolve the undirected edge between X5 and X1, as well as the undirected edge between X5 and X4, since X5 has open edges to both of these variables. This will orient both of these edges and reduce the remaining direction uncertainty."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,qwen3-coder-30b-a3b-instruct,1,1470120545,2,2,2.8495,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X2 will resolve the remaining direction uncertainty since it is one of the two nodes (X2 and X3) with undirected incident edges, and X2 has only one undirected edge connected to it."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,qwen3-coder-30b-a3b-instruct,1,1004126917,1,4,3.8866,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,2,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X4 will resolve the remaining direction uncertainty since it is connected to X2 (which has an undirected edge) and X5, both of which are currently undirected. This intervention will orient the edge between X2 and X4, as well as potentially reveal more orientations through propagation."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,1004126917,1,2,7.5716,2,0,3,1.09861,1,1,2,1.0,0.5,0.63651,1.09861,0.4621,2,1,1,"{""rule"": ""llm"", ""rationale"": ""Intervening on X2 will resolve the orientation of the undirected edges between X2 and X4, and potentially X4 and X5."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""max_true_gain"", ""gain"": 2}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""max_true_gain"", ""gain"": 2}"
20260819T074713Z,llm+llm,qwen3-coder-30b-a3b-instruct,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""llm"", ""rationale"": ""Intervening on X0 will resolve the remaining undirected edges between X0 and X3, and between X0 and X5, since X0 has incident undirected edges to both of these variables."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 3, ""mec_entropy_nats"": 1.09861, ""mec_exhaustive"": true}"
20260819T074713Z,eig+llm,qwen3-coder-30b-a3b-instruct,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""mec_size"": 3, ""mec_entropy_nats"": 1.09861, ""mec_exhaustive"": true}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,1343008841,1,0,5.3271,2,0,3,1.09861,1,2,2,0.0,1.0,1.09861,1.09861,0.0,2,0,2,"{""rule"": ""llm"", ""rationale"": ""Intervening on X0 will resolve the direction of the undirected edges with X3 and X5, as they are both incident to X0."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,848528041,1,1,5.6769,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,848528041,2,4,3.3591,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,848528041,1,1,5.6769,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 4, ""mec_entropy_nats"": 1.38629, ""mec_exhaustive"": true}"
20260819T074713Z,eig+llm,gpt-4o-mini-2024-07-18,1,848528041,2,4,3.3591,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,848528041,1,1,5.6769,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,oracle+llm,qwen3-coder-30b-a3b-instruct,1,848528041,2,4,3.3591,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,848528041,1,1,5.6769,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X1 will resolve the orientation of the undirected edges with X3 and X4, as well as clarify the direction of the edge from X1 to X0."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,llm+llm,gpt-4o-mini-2024-07-18,1,848528041,2,4,3.3591,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""llm"", ""rationale"": ""Intervening on X4 will resolve the undirected edge between X4 and X5, allowing us to determine the direction of the relationship between these variables."", ""wasted_target"": false, ""repeat_target"": false, ""repairs"": 0}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,433882786,1,1,3.0714,2,1,4,1.38629,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,0,1,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260819T074713Z,oracle+llm,gpt-4o-mini-2024-07-18,1,433882786,2,2,6.194,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
