run_id,arm,model_tag,prompt,level,seed,step,target,a,b,z,se,mu_obs,mu_int,truth,decision,correct,rationale
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1943031107,1,0,0,1,16.82322,0.21341,-0.41421,3.17605,a_to_b,a_to_b,1,"The mean of X_b moved from -0.4142 to 3.176 under the intervention on X_a, indicating a causal effect X_a -> X_b."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,325160078,1,2,2,3,0.31525,0.10078,-0.04381,-0.01204,b_to_a,a_to_b,0,"The mean of X_b moved from -0.0438 to -0.012 under the intervention on X_a, indicating a causal direction from X_a to X_b."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,239607114,1,0,0,3,1.56733,0.23348,0.27663,-0.0893,b_to_a,b_to_a,1,"The mean of X_b moved from 0.2766 to -0.0893 under intervention, indicating a causal relationship from X0 to X3."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1078156455,1,2,2,1,26.83215,0.27087,0.06072,7.32876,a_to_b,a_to_b,1,"The mean of X_b moved significantly from 0.0607 to 7.3288 under intervention, indicating a causal effect from X2 to X1."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1580201974,1,2,2,0,40.55076,0.22081,0.27342,-8.68061,a_to_b,a_to_b,1,"The mean of X_b moved significantly from 0.2734 to -8.6806 under intervention, indicating a causal effect from X2 to X0."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1279549348,1,1,1,0,15.20735,0.15384,0.06653,-2.27301,a_to_b,b_to_a,0,"The mean of X_b decreased from 0.0665 to -2.273 under intervention, indicating a causal effect of X1 on X0, hence the edge is X1 -> X0."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1279549348,1,1,1,2,1.09761,0.10272,-0.10614,0.00661,b_to_a,a_to_b,0,"The mean of X_b moved from -0.1061 to 0.0066 under intervention, and the change exceeds the standard error of the difference, indicating a causal direction from X1 to X2."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1279549348,1,1,1,3,22.599,0.1074,0.04471,-2.38242,a_to_b,b_to_a,0,"The mean of X_b moved from 0.0447 to -2.3824 under intervention, indicating a causal effect of X1 on X3, hence the edge is X1 -> X3."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,1,1004126917,1,4,4,2,18.74531,0.20853,-0.27798,3.63096,a_to_b,a_to_b,1,"The mean of X_b moved from -0.278 to 3.631 under intervention, indicating a causal effect of X4 on X2."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,1,1004126917,1,4,4,5,43.89965,0.17275,-0.26165,7.32194,a_to_b,a_to_b,1,"The mean of X_b moved from -0.2616 to 7.3219 under intervention, indicating a causal effect of X4 on X5."
20260819T074348Z,local_llm_rule,qwen3-coder-30b-a3b-instruct,rule,0,1719885688,1,0,0,1,1.54117,0.10269,0.01223,-0.14603,b_to_a,b_to_a,1,"The mean of X_b did not move significantly under the intervention on X_a, suggesting no causal effect from X_a to X_b, hence the edge runs from X_b to X_a."
