arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,20,1.000 ±0.000,—
oracle,none,2,20,1.000 ±0.000,—
oracle,none,3,20,1.000 ±0.000,—
pc_greedy_meek,none,1,20,0.864 ±0.075,—
pc_greedy_meek,none,2,20,0.924 ±0.042,—
pc_greedy_meek,none,3,20,0.893 ±0.055,—
probe,claude-haiku-4.5,1,20,0.960 ±0.037,0.750 ±0.195
probe,claude-haiku-4.5,2,20,0.943 ±0.046,0.650 ±0.214
probe,claude-haiku-4.5,3,20,0.925 ±0.045,0.500 ±0.225
probe,gemini-3-flash-preview,1,20,0.957 ±0.042,0.800 ±0.180
probe,gemini-3-flash-preview,2,20,0.943 ±0.059,0.700 ±0.206
probe,gemini-3-flash-preview,3,20,0.912 ±0.050,0.500 ±0.225
probe,gpt-4o-mini-2024-07-18,1,20,0.957 ±0.034,0.750 ±0.195
probe,gpt-4o-mini-2024-07-18,2,20,0.953 ±0.036,0.600 ±0.220
probe,gpt-4o-mini-2024-07-18,3,20,0.905 ±0.044,0.400 ±0.220
probe,gpt-5.4-mini,1,20,0.961 ±0.039,0.850 ±0.161
probe,gpt-5.4-mini,2,20,0.951 ±0.039,0.600 ±0.220
probe,gpt-5.4-mini,3,20,0.933 ±0.034,0.450 ±0.224
probe,qwen3-coder-30b-a3b-instruct,1,20,0.921 ±0.057,0.650 ±0.214
probe,qwen3-coder-30b-a3b-instruct,2,20,0.958 ±0.027,0.550 ±0.224
probe,qwen3-coder-30b-a3b-instruct,3,20,0.908 ±0.045,0.400 ±0.220
probe_llm_graphs,claude-haiku-4.5,1,20,0.842 ±0.086,0.500 ±0.225
probe_llm_graphs,claude-haiku-4.5,2,20,0.823 ±0.080,0.250 ±0.195
probe_llm_graphs,claude-haiku-4.5,3,20,0.805 ±0.075,0.250 ±0.195
probe_llm_graphs,gemini-3-flash-preview,1,20,0.841 ±0.080,0.350 ±0.214
probe_llm_graphs,gemini-3-flash-preview,2,20,0.892 ±0.060,0.500 ±0.225
probe_llm_graphs,gemini-3-flash-preview,3,20,0.809 ±0.070,0.200 ±0.180
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,20,0.680 ±0.093,0.150 ±0.161
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,20,0.722 ±0.071,0.050 ±0.098
probe_llm_graphs,gpt-4o-mini-2024-07-18,3,20,0.735 ±0.079,0.150 ±0.161
probe_llm_graphs,gpt-5.4-mini,1,20,0.788 ±0.076,0.200 ±0.180
probe_llm_graphs,gpt-5.4-mini,2,20,0.889 ±0.080,0.500 ±0.225
probe_llm_graphs,gpt-5.4-mini,3,20,0.777 ±0.082,0.250 ±0.195
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,20,0.749 ±0.110,0.400 ±0.220
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,20,0.752 ±0.071,0.100 ±0.135
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,3,20,0.725 ±0.074,0.100 ±0.135
probe_noreserve,claude-haiku-4.5,1,20,0.894 ±0.042,0.100 ±0.135
probe_noreserve,claude-haiku-4.5,2,20,0.897 ±0.044,0.150 ±0.161
probe_noreserve,claude-haiku-4.5,3,20,0.886 ±0.041,0.100 ±0.135
probe_noreserve,gemini-3-flash-preview,1,20,0.892 ±0.050,0.200 ±0.180
probe_noreserve,gemini-3-flash-preview,2,20,0.887 ±0.064,0.200 ±0.180
probe_noreserve,gemini-3-flash-preview,3,20,0.862 ±0.046,0.100 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,0.900 ±0.035,0.100 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,0.901 ±0.036,0.100 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,3,20,0.865 ±0.034,0.000 ±0.000
probe_noreserve,gpt-5.4-mini,1,20,0.889 ±0.070,0.250 ±0.195
probe_noreserve,gpt-5.4-mini,2,20,0.908 ±0.037,0.100 ±0.135
probe_noreserve,gpt-5.4-mini,3,20,0.887 ±0.029,0.050 ±0.098
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,0.845 ±0.054,0.000 ±0.000
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,0.915 ±0.023,0.050 ±0.098
probe_noreserve,qwen3-coder-30b-a3b-instruct,3,20,0.886 ±0.038,0.050 ±0.098
probe_oracle_edits,none,1,20,0.983 ±0.027,0.950 ±0.098
probe_oracle_edits,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits,none,3,20,0.993 ±0.014,0.950 ±0.098
probe_random_edits,none,1,20,0.920 ±0.061,0.650 ±0.214
probe_random_edits,none,2,20,0.918 ±0.054,0.500 ±0.225
probe_random_edits,none,3,20,0.922 ±0.041,0.400 ±0.220
probe_skel_only,none,1,20,0.942 ±0.041,0.650 ±0.214
probe_skel_only,none,2,20,0.947 ±0.035,0.500 ±0.225
probe_skel_only,none,3,20,0.921 ±0.038,0.400 ±0.220
