run_id,arm,model_tag,level,seed,step,target,value,undirected_before,undirected_after,mec_size_before,mec_entropy_before,mec_exhaustive,true_gain_chosen,true_gain_best,selection_regret,selection_quality,eig_chosen_nats,eig_best_nats,eig_regret_nats,edges_resolved,orientations_correct,orientations_wrong,selector_meta
20260816T141423Z,random+meek,none,0,295485567,1,3,6.4825,4,1,8,2.07944,1,3,3,0.0,1.0,1.32089,1.55958,0.23869,3,3,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141423Z,random+meek,none,0,295485567,2,1,2.9872,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141423Z,maxdeg+meek,none,0,295485567,1,1,2.9872,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""max_undirected_degree"", ""degree"": 3}"
20260816T141423Z,maxdeg+meek,none,0,295485567,2,2,8.2936,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_undirected_degree"", ""degree"": 1}"
20260816T141423Z,eig+meek,none,0,295485567,1,1,2.9872,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.55958, ""mec_size"": 8, ""mec_entropy_nats"": 2.07944, ""mec_exhaustive"": true}"
20260816T141423Z,eig+meek,none,0,295485567,2,2,8.2936,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260816T141423Z,oracle+meek,none,0,295485567,1,1,2.9872,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""max_true_gain"", ""gain"": 3}"
20260816T141423Z,oracle+meek,none,0,295485567,2,2,8.2936,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260816T141423Z,random+meek,none,0,325160078,1,3,3.033,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141423Z,maxdeg+meek,none,0,325160078,1,2,4.9845,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_undirected_degree"", ""degree"": 1}"
20260816T141423Z,eig+meek,none,0,325160078,1,2,4.9845,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260816T141423Z,oracle+meek,none,0,325160078,1,2,4.9845,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_true_gain"", ""gain"": 1}"
20260816T141423Z,random+meek,none,0,1719885688,1,1,3.1042,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141423Z,random+meek,none,0,1719885688,2,3,9.8483,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141423Z,maxdeg+meek,none,0,1719885688,1,1,3.1042,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""max_undirected_degree"", ""degree"": 3}"
20260816T141423Z,maxdeg+meek,none,0,1719885688,2,0,4.0968,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_undirected_degree"", ""degree"": 1}"
20260816T141423Z,eig+meek,none,0,1719885688,1,1,3.1042,4,1,8,2.07944,1,3,3,0.0,1.0,1.55958,1.55958,0.0,3,3,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.55958, ""mec_size"": 8, ""mec_entropy_nats"": 2.07944, ""mec_exhaustive"": true}"
20260816T141423Z,eig+meek,none,0,1719885688,2,0,4.0968,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
