run_id,arm,model_tag,prompt,level,seed,step,target,a,b,z,se,mu_obs,mu_int,truth,decision,correct,rationale
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1943031107,1,0,0,1,16.82322,0.21341,-0.41421,3.17605,a_to_b,a_to_b,1,"The intervention on X0 caused a significant increase in X_b's mean, indicating that X0 influences X_b."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,325160078,1,2,2,3,0.31525,0.10078,-0.04381,-0.01204,b_to_a,a_to_b,0,"The intervention on X2 caused a change in the mean of X3, indicating that X2 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,239607114,1,0,0,3,1.56733,0.23348,0.27663,-0.0893,b_to_a,a_to_b,0,"Under intervention on X0, the mean of X3 changes from 0.2766 to -0.0893, indicating that X0 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1580201974,1,2,2,0,40.55076,0.22081,0.27342,-8.68061,a_to_b,a_to_b,1,"The intervention on X2 caused a significant decrease in X0's mean, indicating that X2 influences X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1719885688,1,0,0,1,1.54117,0.10269,0.01223,-0.14603,b_to_a,a_to_b,0,"Under intervention on X0, the mean of X1 changed from 0.0122 to -0.146, indicating that X0 influences X1."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1719885688,1,0,0,3,33.89884,0.21754,-0.0381,-7.4125,a_to_b,b_to_a,0,"The intervention on X0 caused a large shift in the mean of X3, indicating that X0 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1158667886,1,0,0,1,23.40054,0.15708,0.01397,-3.66172,a_to_b,a_to_b,1,"The mean of X_b decreased after a hard intervention on X_a, indicating that X_a influences X_b."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1279549348,1,1,1,0,15.20735,0.15384,0.06653,-2.27301,a_to_b,b_to_a,0,"In the interventional panel, X_b's mean shifted from 0.0665 to -2.273, indicating that X_a influences X_b, thus the edge is X1 -> X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1279549348,1,1,1,2,1.09761,0.10272,-0.10614,0.00661,b_to_a,a_to_b,0,"Under intervention on X1, the mean of X2 shifts from -0.1061 to 0.0066, indicating that X1 influences X2."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1279549348,1,1,1,3,22.599,0.1074,0.04471,-2.38242,a_to_b,a_to_b,1,"The intervention on X1 caused a decrease in X3's mean, indicating that X1 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,295485567,1,1,1,0,34.12861,0.12316,0.04046,4.2438,a_to_b,a_to_b,1,"The intervention on X1 caused a significant increase in X_b's mean, indicating that X1 influences X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,295485567,1,1,1,2,37.07431,0.18801,0.0935,7.0638,a_to_b,a_to_b,1,"The intervention on X1 caused a significant increase in X2's mean, indicating that X1 influences X2."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,295485567,1,1,1,3,37.14989,0.14615,0.13347,5.56281,a_to_b,a_to_b,1,"The intervention on X1 caused a significant increase in X3's mean, indicating that X1 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,295485567,2,2,2,3,1.28394,0.20975,0.13347,-0.13584,b_to_a,a_to_b,0,"Under intervention on X2, the mean of X3 changed, indicating that X2 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1004126917,1,4,4,2,18.74531,0.20853,-0.27798,3.63096,a_to_b,a_to_b,1,"Under intervention on X4, the mean of X2 increased, indicating that X4 influences X2."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1004126917,1,4,4,5,43.89965,0.17275,-0.26165,7.32194,a_to_b,a_to_b,1,"The intervention on X4 caused a significant increase in X5's mean, indicating that X4 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1078156455,1,2,2,1,26.83215,0.27087,0.06072,7.32876,a_to_b,b_to_a,0,"The intervention on X2 caused a significant increase in X1's mean, indicating that X2 influences X1."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1078156455,2,3,3,0,30.74866,0.12709,-0.03675,-3.94467,a_to_b,b_to_a,0,"The intervention on X3 caused a decrease in the mean of X0, indicating that X3 influences X0, hence the direction is X3 -> X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,0,1078156455,2,3,3,1,38.94762,0.21877,0.06072,-8.45972,a_to_b,b_to_a,0,"The mean of X1 decreases significantly after intervening on X3, indicating that X3 influences X1."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1343008841,1,0,0,3,2.21862,0.11323,0.092,-0.15921,b_to_a,b_to_a,1,"The mean of X3 decreases from 0.092 to -0.1592 after a hard intervention on X0, indicating that X3 is influenced by X0, hence the direction is X0 -> X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1343008841,1,0,0,5,2.20948,0.09114,0.10978,-0.09161,b_to_a,b_to_a,1,"The mean of X5 decreases from 0.1098 to -0.0916 after a hard intervention on X0, indicating that X5 is downstream of X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,920829464,1,3,3,4,35.96326,0.13158,0.03911,4.77098,a_to_b,a_to_b,1,"The intervention on X3 caused a significant increase in X4's mean, indicating that X3 influences X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,848528041,1,1,1,3,0.16507,0.10484,-0.00406,0.01325,b_to_a,a_to_b,0,"The mean of X3 increases from -0.0041 to 0.0132 after a hard intervention on X1, indicating that X1 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,848528041,2,4,4,5,1.95539,0.09716,0.05916,-0.13084,b_to_a,b_to_a,1,"The mean of X5 decreases from 0.0592 to -0.1308 after a hard intervention on X4, indicating that X4 is a cause of X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,433882786,1,1,1,4,2.60917,0.09314,0.02381,0.26682,b_to_a,a_to_b,0,"The mean of X4 increases from 0.0238 to 0.2668 after a hard intervention on X1, indicating that X1 influences X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,433882786,2,2,2,3,1.04926,0.10691,-0.06966,-0.18183,b_to_a,a_to_b,0,"Under intervention on X2, the mean of X3 decreased, suggesting that X2 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,424836758,1,2,2,3,35.80076,0.14171,0.07136,5.14467,a_to_b,a_to_b,1,"The intervention on X2 caused a significant increase in X3's mean, indicating that X2 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,424836758,1,2,2,5,33.82862,0.1238,-0.03185,4.15619,a_to_b,b_to_a,0,"The intervention on X2 caused a significant shift in the mean of X5, indicating that X2 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1470120545,1,5,5,1,23.53367,0.11117,0.05535,2.67164,a_to_b,a_to_b,1,"The intervention on X5 caused a significant increase in X1's mean, indicating that X5 influences X1."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1470120545,1,5,5,4,37.51743,0.16422,-0.19433,-6.35542,a_to_b,b_to_a,0,"The intervention on X5 caused a decrease in X4's mean, indicating X5 influences X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1470120545,2,2,2,3,19.86779,0.11228,0.06731,-2.16344,a_to_b,a_to_b,1,"The intervention on X2 caused a decrease in the mean of X3, indicating that X2 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1170454109,1,2,2,6,26.41095,0.10574,0.16795,2.96069,a_to_b,a_to_b,1,"The intervention on X2 caused a significant increase in X6's mean, indicating that X2 influences X6."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1170454109,2,3,3,7,29.65891,0.12139,-0.02207,-3.62243,a_to_b,b_to_a,0,"The intervention on X3 caused a large shift in the mean of X7, indicating that X3 influences X7."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,674912463,1,1,1,3,39.44193,0.15878,0.04692,-6.2158,a_to_b,b_to_a,0,"The intervention on X1 caused a decrease in the mean of X3, indicating that X1 is a cause of X3, hence the direction is X3 -> X1."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,674912463,1,1,1,4,0.33645,0.10043,-0.04837,-0.01458,b_to_a,a_to_b,0,"The intervention on X1 caused a change in the mean of X4, indicating that X1 influences X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,674912463,2,0,0,5,15.54781,0.11024,-0.03742,1.67662,a_to_b,a_to_b,1,"The intervention on X0 caused a significant increase in X5's mean, indicating that X0 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1036482875,1,1,1,0,35.24428,0.28186,-0.50913,-10.44297,a_to_b,b_to_a,0,"The intervention on X1 caused a large shift in the mean of X0, indicating that X1 influences X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1036482875,1,1,1,3,23.65011,0.1108,-0.1447,-2.76514,a_to_b,b_to_a,0,"The intervention on X1 caused a decrease in the mean of X3, indicating that X1 influences X3, hence the direction is X1 -> X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1036482875,1,1,1,4,19.89016,0.11085,-0.09931,-2.30418,a_to_b,b_to_a,0,"The intervention on X1 caused a decrease in the mean of X4, indicating that X1 influences X4, thus the edge is X1 -> X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,1,1036482875,2,0,0,3,1.50305,0.13942,-0.1447,0.06485,b_to_a,a_to_b,0,"The intervention on X0 caused a change in the mean of X3, indicating that X0 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,113229833,1,6,6,0,26.13502,0.11558,0.09001,3.11077,a_to_b,a_to_b,1,"The intervention on X6 caused a significant increase in X0's mean, indicating that X6 influences X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,113229833,1,6,6,2,37.76304,0.15769,0.0575,6.01248,a_to_b,a_to_b,1,"The intervention on X6 caused a significant change in the mean of X2, indicating that X6 influences X2."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,113229833,2,1,1,7,1.04241,0.09551,0.02161,-0.07795,b_to_a,a_to_b,0,"Under intervention on X1, the mean of X7 decreased, indicating that X1 influences X7."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,115210587,1,1,1,3,27.94303,0.12163,-0.00355,3.39512,a_to_b,a_to_b,1,"The intervention on X1 caused a significant increase in X3's mean, indicating that X1 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,115210587,1,1,1,7,0.13292,0.09925,-0.02865,-0.04184,b_to_a,a_to_b,0,"Under intervention on X1, the mean of X7 remains nearly identical, suggesting X1 influences X7, not the reverse."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,115210587,2,4,4,5,19.15284,0.11032,0.03801,-2.07489,a_to_b,a_to_b,1,"The intervention on X4 caused a decrease in the mean of X5, indicating that X4 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,490919193,1,0,0,2,33.06254,0.13247,-0.06881,4.31097,a_to_b,a_to_b,1,"The intervention on X0 caused a significant shift in X2's mean, indicating that X0 influences X2."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,490919193,1,0,0,3,0.08645,0.09481,-0.03939,-0.04758,b_to_a,a_to_b,0,"The intervention on X0 caused a change in the mean of X3, indicating that X0 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,490919193,1,0,0,7,42.20925,0.17742,-0.00653,7.48234,a_to_b,a_to_b,1,"The intervention on X0 caused a significant increase in Xb's mean, indicating that X0 influences Xb."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,490919193,2,4,4,5,0.10857,0.10077,0.0136,0.00266,b_to_a,a_to_b,0,"Under intervention on X4, the mean of X5 decreased, indicating that X4 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1922145947,1,4,4,0,31.19437,0.12155,0.01735,-3.77421,a_to_b,b_to_a,0,"The intervention on X4 caused a decrease in the mean of X0, indicating that X4 influences X0."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1922145947,1,4,4,3,39.16225,0.14691,-0.09117,-5.8446,a_to_b,a_to_b,1,"The intervention on X4 caused a decrease in X3's mean, indicating that X4 influences X3."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1922145947,1,4,4,7,35.68838,0.1364,0.0505,-4.81753,a_to_b,b_to_a,0,"The mean of X7 decreases significantly after a hard intervention on X4, indicating that X7 is downstream of X4."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1922145947,2,0,0,6,45.50188,0.19722,-0.05846,-9.03219,a_to_b,b_to_a,0,"The intervention on X0 caused a large decrease in X6's mean, indicating X0 influences X6."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1922145947,3,2,2,5,26.55977,0.11691,0.1627,-2.9424,a_to_b,a_to_b,1,"The intervention on X2 caused a decrease in X5's mean, indicating X2 influences X5."
20260819T074316Z,local_llm_stats,qwen3-coder-30b-a3b-instruct,stats,2,1528591101,1,2,2,1,34.05764,0.13377,-0.19102,-4.74681,a_to_b,b_to_a,0,"The intervention on X2 caused a decrease in X1's mean, indicating that X2 influences X1."
