graph,condition,run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
cancer,shared,20260820T064424Z,pc_greedy_meek,none,-1,20260820,1,2,4.3931,,,,,,0.85714,,3,0,
cancer,shared,20260820T064424Z,probe_skel_only,none,-1,20260820,1,2,4.3931,8,1.38629,0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""1"": 0.56234, ""2"": 1.38629, ""3"": 0.56234, ""4"": 0.28768}}"
cancer,anon,20260820T064424Z,probe,claude-haiku-4.5,-1,20260820,1,2,4.3931,36,1.09861,0.33177,0.76684,0.92078,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.63651}}"
cancer,named,20260820T064424Z,probe,claude-haiku-4.5,-1,20260820,1,2,4.3931,48,1.09861,0.71178,0.38683,0.82183,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.63651}}"
cancer,shared,20260820T064424Z,pc_greedy_meek,none,-1,20260821,1,1,5.7296,,,,,,1.0,,4,1,
cancer,shared,20260820T064424Z,probe_random_edits,none,-1,20260820,1,2,4.3931,48,1.09912,1.2581,-0.15899,0.62351,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09912, ""eig_by_target"": {""0"": 0.0005, ""1"": 0.75254, ""2"": 1.09912, ""3"": 0.75254, ""4"": 0.00049}}"
cancer,named,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260820,1,2,4.3931,48,1.70403,0.33177,1.37226,0.92078,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.19195, ""eig_by_target"": {""0"": 1.08246, ""1"": 0.48297, ""2"": 1.19195, ""3"": 0.18869, ""4"": 0.94936}}"
cancer,anon,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,4.3931,48,1.09912,0.74248,0.35664,0.76554,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09912, ""eig_by_target"": {""0"": 0.0005, ""1"": 0.75254, ""2"": 1.09912, ""3"": 0.69478, ""4"": -0.00152}}"
cancer,anon,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260820,1,2,4.3931,48,1.70403,0.33177,1.37226,0.92078,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.19195, ""eig_by_target"": {""0"": 1.08246, ""1"": 0.48297, ""2"": 1.19195, ""3"": 0.18869, ""4"": 0.94936}}"
cancer,named,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260821,1,1,5.7296,48,2.67339,1.03049,1.6429,0.44717,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.7946, ""eig_by_target"": {""0"": 1.27268, ""1"": 1.7946, ""2"": 1.23315, ""3"": 0.44914, ""4"": 0.78383}}"
cancer,named,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260821,1,1,5.7296,48,2.80777,1.09459,1.71318,0.44146,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.8395, ""eig_by_target"": {""0"": 1.31765, ""1"": 1.8395, ""2"": 1.17901, ""3"": 0.66821, ""4"": 0.6839}}"
cancer,named,20260820T064424Z,probe,claude-haiku-4.5,-1,20260821,1,1,5.7296,48,2.84281,0.54507,2.29774,0.86449,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.86114, ""eig_by_target"": {""0"": 1.46244, ""1"": 1.86114, ""2"": 1.22378, ""3"": 0.59694, ""4"": 0.38212}}"
cancer,named,20260820T064424Z,probe,gpt-5.4-mini,-1,20260821,1,1,5.7296,48,2.66523,0.76794,1.89729,0.49287,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.86432, ""eig_by_target"": {""0"": 1.36182, ""1"": 1.86432, ""2"": 1.29057, ""3"": 0.37861, ""4"": 0.7941}}"
cancer,named,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260821,1,1,5.7296,24,2.30259,0.69315,1.60944,0.5,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72496, ""eig_by_target"": {""0"": 1.25184, ""1"": 1.72496, ""2"": 1.36854, ""3"": 0.45419, ""4"": 0.68524}}"
cancer,shared,20260820T064424Z,probe_skel_only,none,-1,20260821,1,1,5.7296,24,2.30259,0.69315,1.60944,0.5,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72496, ""eig_by_target"": {""0"": 1.25184, ""1"": 1.72496, ""2"": 1.36854, ""3"": 0.45419, ""4"": 0.68524}}"
cancer,shared,20260820T064424Z,probe_oracle_edits,none,-1,20260821,1,1,5.7296,40,2.3977,0.45432,1.94337,0.87842,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.83763, ""eig_by_target"": {""0"": 1.3796, ""1"": 1.83763, ""2"": 1.46377, ""3"": 0.42781, ""4"": 0.86476}}"
cancer,shared,20260820T064424Z,probe_random_edits,none,-1,20260821,1,1,5.7296,48,3.00015,0.53342,2.46674,0.86587,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.95097, ""eig_by_target"": {""0"": 1.48089, ""1"": 1.95097, ""2"": 1.61565, ""3"": 0.49139, ""4"": 0.65607}}"
cancer,anon,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260821,1,1,5.7296,48,3.00015,0.53342,2.46674,0.86587,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.85078, ""eig_by_target"": {""0"": 1.45802, ""1"": 1.85078, ""2"": 1.48318, ""3"": 0.28844, ""4"": 0.81245}}"
cancer,shared,20260820T064424Z,pc_greedy_meek,none,-1,20260822,1,2,6.6177,,,,,,0.85714,,3,0,
cancer,anon,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260821,1,1,5.7296,48,2.79874,0.99489,1.80385,0.46247,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.8219, ""eig_by_target"": {""0"": 1.39489, ""1"": 1.8219, ""2"": 1.21122, ""3"": 0.3813, ""4"": 0.59379}}"
cancer,anon,20260820T064424Z,probe,gpt-5.4-mini,-1,20260821,1,1,5.7296,48,2.66692,0.76794,1.89897,0.49287,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.86171, ""eig_by_target"": {""0"": 1.36278, ""1"": 1.86171, ""2"": 1.29216, ""3"": 0.38029, ""4"": 0.79568}}"
cancer,anon,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260821,1,1,5.7296,24,2.30259,0.69315,1.60944,0.5,0.88889,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72496, ""eig_by_target"": {""0"": 1.25184, ""1"": 1.72496, ""2"": 1.36854, ""3"": 0.45419, ""4"": 0.68524}}"
cancer,named,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260822,1,2,6.6177,24,1.09861,0.43319,0.66542,0.88623,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.69428, ""2"": 1.09861, ""3"": 0.46323}}"
cancer,named,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260822,1,2,6.6177,48,1.38629,0.94953,0.43676,0.69852,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03972, ""eig_by_target"": {""1"": 1.03972, ""2"": 1.03972, ""3"": 0.28768, ""4"": 0.47078}}"
cancer,anon,20260820T064424Z,probe,claude-haiku-4.5,-1,20260821,1,1,5.7296,48,2.84281,0.54507,2.29774,0.86449,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.86114, ""eig_by_target"": {""0"": 1.46244, ""1"": 1.86114, ""2"": 1.22378, ""3"": 0.59694, ""4"": 0.38212}}"
cancer,named,20260820T064424Z,probe,claude-haiku-4.5,-1,20260822,1,2,6.6177,48,1.09861,0.47936,0.61925,0.87852,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.69428, ""2"": 1.09861, ""3"": 0.46323}}"
cancer,shared,20260820T064424Z,probe_skel_only,none,-1,20260822,1,2,6.6177,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.65389, ""1"": 0.47078, ""2"": 1.38629, ""3"": 0.56234}}"
