graph,condition,run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
cancer,shared,20260820T055901Z,pc_greedy_meek,none,-1,20260820,1,2,3.8773,,,,,,0.66667,,2,0,
cancer,shared,20260820T055901Z,probe_skel_only,none,-1,20260820,1,2,3.8773,4,1.09861,0.0,1.09861,1.0,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.69428}}"
cancer,shared,20260820T055901Z,probe_random_edits,none,-1,20260820,1,2,3.8773,32,1.38804,0.76304,0.625,0.64916,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.98253, ""eig_by_target"": {""0"": 0.00175, ""1"": 0.92582, ""2"": 0.98253, ""3"": 0.93028, ""4"": 0.56263}}"
cancer,named,20260820T055901Z,probe,gpt-5.4-mini,-1,20260820,1,2,3.8773,12,2.18819,0.328,1.86019,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.36672, ""eig_by_target"": {""0"": 0.61973, ""1"": 1.0064, ""2"": 1.36672, ""3"": 0.92147, ""4"": 0.5743}}"
cancer,named,20260820T055901Z,probe,gpt-4o-mini-2024-07-18,-1,20260820,1,2,3.8773,26,2.48571,0.46397,2.02174,0.89662,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.63075, ""eig_by_target"": {""0"": 0.54274, ""1"": 1.08625, ""2"": 1.63075, ""3"": 0.85599, ""4"": 0.63083}}"
cancer,anon,20260820T055901Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,3.8773,28,2.51688,0.46397,2.05291,0.89662,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.65794, ""eig_by_target"": {""0"": 0.57253, ""1"": 1.09103, ""2"": 1.65794, ""3"": 1.16104, ""4"": 0.66102}}"
cancer,named,20260820T055901Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,3.8773,46,1.81945,0.0001,1.81935,0.99999,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.64606, ""eig_by_target"": {""0"": 0.36243, ""1"": 0.97785, ""2"": 1.64606, ""3"": 1.16959, ""4"": 0.79835}}"
cancer,named,20260820T055901Z,probe,gemini-3-flash-preview,-1,20260820,1,2,3.8773,36,1.11999,0.328,0.79199,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.11841, ""eig_by_target"": {""0"": 0.02138, ""1"": 0.54236, ""2"": 1.11841, ""3"": 0.88852, ""4"": 0.01327}}"
cancer,shared,20260820T055901Z,pc_greedy_meek,none,-1,20260821,1,1,5.2509,,,,,,0.66667,,2,0,
cancer,anon,20260820T055901Z,probe,gpt-4o-mini-2024-07-18,-1,20260820,1,2,3.8773,38,1.389,1.00093,0.38807,0.58904,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.98466, ""eig_by_target"": {""0"": 0.0027, ""1"": 0.92633, ""2"": 0.98466, ""3"": 0.83969, ""4"": 0.47217}}"
cancer,anon,20260820T055901Z,probe,gpt-5.4-mini,-1,20260820,1,2,3.8773,36,1.11999,0.328,0.79199,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.11841, ""eig_by_target"": {""0"": 0.02138, ""1"": 0.54236, ""2"": 1.11841, ""3"": 0.88852, ""4"": 0.01327}}"
cancer,named,20260820T055901Z,probe,claude-haiku-4.5,-1,20260820,1,2,3.8773,6,1.09861,0.0,1.09861,1.0,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.69428}}"
