hypothesis_source,model_tag,n,directed_f1,truth_in_hypotheses,best_f1_in_hypotheses,n_hypotheses,truth_rank_final
llm whole graphs,claude-haiku-4.5,60,0.671 ±0.051,0.033 ±0.046,0.725 ±0.041,11.200 ±0.372,-0.933 ±0.092
llm whole graphs,gemini-3-flash-preview,60,0.668 ±0.055,0.067 ±0.064,0.742 ±0.038,11.833 ±0.116,-0.867 ±0.127
llm whole graphs,gpt-4o-mini-2024-07-18,60,0.582 ±0.047,0.000 ±0.000,0.611 ±0.043,7.933 ±0.824,-1.000 ±0.000
llm whole graphs,gpt-5.4-mini,60,0.648 ±0.056,0.033 ±0.046,0.728 ±0.041,11.367 ±0.218,-0.933 ±0.092
llm whole graphs,qwen3-coder-30b-a3b-instruct,60,0.599 ±0.052,0.017 ±0.033,0.627 ±0.049,6.883 ±1.116,-0.967 ±0.065
llm_repair + pc_mec,claude-haiku-4.5,60,0.838 ±0.035,0.233 ±0.108,0.886 ±0.025,47.800 ±0.392,-0.517 ±0.226
llm_repair + pc_mec,gemini-3-flash-preview,60,0.832 ±0.037,0.200 ±0.102,0.885 ±0.024,47.533 ±0.793,-0.567 ±0.230
llm_repair + pc_mec,gpt-4o-mini-2024-07-18,60,0.826 ±0.030,0.117 ±0.082,0.864 ±0.024,48.000 ±0.000,-0.750 ±0.178
llm_repair + pc_mec,gpt-5.4-mini,60,0.844 ±0.034,0.200 ±0.102,0.877 ±0.025,48.000 ±0.000,-0.567 ±0.225
llm_repair + pc_mec,qwen3-coder-30b-a3b-instruct,60,0.839 ±0.032,0.150 ±0.091,0.868 ±0.025,48.000 ±0.000,-0.650 ±0.223
"llm_repair, no guard",claude-haiku-4.5,60,0.815 ±0.039,0.150 ±0.091,0.865 ±0.026,47.800 ±0.392,-0.700 ±0.182
"llm_repair, no guard",gemini-3-flash-preview,60,0.809 ±0.036,0.117 ±0.082,0.853 ±0.028,47.533 ±0.793,-0.733 ±0.197
"llm_repair, no guard",gpt-4o-mini-2024-07-18,60,0.778 ±0.034,0.033 ±0.046,0.817 ±0.026,48.000 ±0.000,-0.933 ±0.092
"llm_repair, no guard",gpt-5.4-mini,60,0.797 ±0.039,0.117 ±0.082,0.825 ±0.032,48.000 ±0.000,-0.767 ±0.164
"llm_repair, no guard",qwen3-coder-30b-a3b-instruct,60,0.796 ±0.036,0.067 ±0.064,0.826 ±0.027,48.000 ±0.000,-0.867 ±0.127
oracle edits (no LLM),none,60,0.975 ±0.019,0.933 ±0.064,0.985 ±0.015,48.000 ±0.000,0.933 ±0.154
pc_skeleton (no LLM),none,60,0.818 ±0.030,0.083 ±0.071,0.850 ±0.024,42.267 ±2.638,-0.833 ±0.141
random edits (no LLM),none,60,0.794 ±0.037,0.100 ±0.077,0.852 ±0.023,48.000 ±0.000,-0.783 ±0.169
