run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.9725}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,123393401,1,1,5.0761,48,2.34929,0.0,2.34929,1.0,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,123393401,1,3,11.2502,48,2.34929,0.69315,1.65615,0.5,0.75,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.57266, ""eig_by_target"": {""0"": 0.71218, ""1"": 1.43613, ""2"": 1.17872, ""3"": 1.57266}}"
20260820T055113Z,probe_skel_only,none,0,123393401,1,3,11.2502,8,1.38629,-0.0,1.38629,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38629, ""eig_by_target"": {""0"": 0.47078, ""1"": 0.47078, ""2"": 0.37923, ""3"": 1.38629}}"
20260820T055113Z,pc_greedy_meek,none,0,295485567,1,1,2.9872,,,,,,0.85714,,3,1,
20260820T055113Z,pc_greedy_meek,none,0,295485567,2,2,8.2936,,,,,,1.0,,1,0,
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.6159}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,123393401,1,1,5.0761,44,2.24849,0.62784,1.62065,0.8029,0.85714,-1,,,"{""rule"": ""random""}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,123393401,1,3,11.2502,44,2.24849,0.00152,2.24697,0.99985,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9704, ""eig_by_target"": {""0"": 0.92057, ""1"": 0.86937, ""2"": 0.63663, ""3"": 1.9704}}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,0,5.0128,48,2.75496,2.40072,0.35424,0.13905,0.75,5,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,1,2.9872,48,2.40072,1.53812,0.8626,0.37907,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.75496,1.55263,1.20233,0.3871,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0069}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.55263,0.66161,0.89102,0.82865,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.1185}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,1,1,2.9872,48,2.75496,1.55263,1.20233,0.3871,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.98213, ""eig_by_target"": {""0"": 0.43575, ""1"": 1.98213, ""2"": 1.5538, ""3"": 1.1932}}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,295485567,2,2,8.2936,48,1.55263,0.66161,0.89102,0.82865,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.86913, ""eig_by_target"": {""0"": 0.09064, ""2"": 0.86913, ""3"": 0.75255}}"
20260820T055113Z,probe_skel_only,none,0,295485567,1,1,2.9872,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.79063, ""eig_by_target"": {""0"": 0.37923, ""1"": 1.79063, ""2"": 1.54977, ""3"": 1.34269}}"
20260820T055113Z,probe_skel_only,none,0,295485567,2,2,8.2936,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260820T055113Z,pc_greedy_meek,none,0,325160078,1,2,4.9845,,,,,,0.57143,,1,0,
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,1,0,5.0128,48,2.73382,2.39884,0.33498,0.13908,0.75,5,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,295485567,2,1,2.9872,48,2.39884,1.53065,0.86819,0.37947,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0029}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.1117}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,295485567,1,1,2.9872,48,2.73382,1.53191,1.20191,0.38849,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.96403, ""eig_by_target"": {""0"": 0.42402, ""1"": 1.96403, ""2"": 1.40944, ""3"": 1.24154}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,295485567,2,2,8.2936,48,1.53191,0.63959,0.89232,0.83172,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.87743, ""eig_by_target"": {""0"": 0.09413, ""2"": 0.87743, ""3"": 0.75263}}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,325160078,1,2,4.9845,48,1.82469,1.25557,0.56912,0.68715,0.57143,6,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,325160078,2,3,3.033,48,1.25557,1.1078,0.14776,0.68841,0.57143,2,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,325160078,1,3,3.033,48,1.82469,1.1469,0.67779,0.66119,0.57143,3,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.2333}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,325160078,2,0,4.2412,48,1.1469,0.0,1.1469,1.0,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 0.2893}"
20260820T055113Z,probe_skel_only,none,0,325160078,1,2,4.9845,8,0.69315,0.0,0.69315,1.0,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""3"": 0.69315}}"
20260820T055113Z,pc_greedy_meek,none,0,1719885688,1,1,3.1042,,,,,,0.85714,,3,1,
20260820T055113Z,pc_greedy_meek,none,0,1719885688,2,0,4.0968,,,,,,1.0,,1,0,
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,325160078,1,3,3.033,48,1.82469,1.1469,0.67779,0.66119,0.57143,3,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.96394, ""eig_by_target"": {""0"": 0.34863, ""1"": 0.51732, ""2"": 0.68498, ""3"": 0.96394}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,325160078,2,1,5.5441,48,1.1469,0.0,1.1469,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.38627, ""eig_by_target"": {""0"": 0.32945, ""1"": 0.38627, ""2"": 0.09309, ""3"": 0.06534}}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,325160078,1,2,4.9845,48,1.8441,1.20629,0.63781,0.69579,0.57143,6,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,qwen3-coder-30b-a3b-instruct,0,325160078,2,3,3.033,48,1.20629,0.91173,0.29456,0.7426,0.57143,2,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,325160078,1,3,3.033,48,1.8441,1.11206,0.73204,0.68787,0.57143,2,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.2031}"
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,325160078,2,1,5.5441,48,1.11206,0.0,1.11206,1.0,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 0.2698}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,325160078,1,3,3.033,48,1.8441,1.11206,0.73204,0.68787,0.57143,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.04427, ""eig_by_target"": {""0"": 0.33085, ""1"": 0.45564, ""2"": 0.95266, ""3"": 1.04427}}"
20260820T055113Z,probe,qwen3-coder-30b-a3b-instruct,0,325160078,2,1,5.5441,48,1.11206,0.0,1.11206,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.63535, ""eig_by_target"": {""0"": 0.22229, ""1"": 0.63535, ""2"": 0.31729, ""3"": 0.08827}}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,1719885688,1,1,3.1042,48,2.42847,1.04748,1.38098,0.45666,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_random_sel,gpt-4o-mini-2024-07-18,0,1719885688,2,3,9.8483,48,1.04748,0.50058,0.5469,0.86057,1.0,1,,,"{""rule"": ""random""}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,1719885688,1,1,3.1042,48,2.42847,1.04748,1.38098,0.45666,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 2.0011}"
20260820T055113Z,probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,1719885688,2,0,4.0968,48,1.04748,0.30726,0.74022,0.92821,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.0751}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,1719885688,1,1,3.1042,48,2.42847,1.04748,1.38098,0.45666,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.64073, ""eig_by_target"": {""0"": 1.35127, ""1"": 1.64073, ""2"": 0.50331, ""3"": 1.18572}}"
20260820T055113Z,probe,gpt-4o-mini-2024-07-18,0,1719885688,2,0,4.0968,48,1.04748,0.30726,0.74022,0.92821,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75991, ""eig_by_target"": {""0"": 0.75991, ""2"": -0.01053, ""3"": 0.73202}}"
20260820T055113Z,probe_skel_only,none,0,1719885688,1,1,3.1042,12,2.07944,0.69315,1.38629,0.5,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.55958, ""eig_by_target"": {""0"": 1.3089, ""1"": 1.55958, ""2"": 0.56234, ""3"": 1.20754}}"
20260820T055113Z,probe_skel_only,none,0,1719885688,2,0,4.0968,12,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055113Z,pc_greedy_meek,none,0,239607114,1,0,12.7007,,,,,,0.28571,,1,0,
20260820T055113Z,probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,1719885688,1,1,3.1042,48,2.85119,1.35283,1.49836,0.42012,1.0,1,,,"{""rule"": ""max_ambiguous_degree"", ""score"": 1.9986}"
