graph,condition,run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
cancer,shared,20260820T064424Z,pc_greedy_meek,none,-1,20260820,1,2,3.8773,,,,,,0.66667,,2,0,
cancer,named,20260820T064424Z,probe,claude-haiku-4.5,-1,20260820,1,2,3.8773,6,1.09861,0.0,1.09861,1.0,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.69428}}"
cancer,named,20260820T064424Z,probe,gpt-5.4-mini,-1,20260820,1,2,3.8773,12,2.18819,0.328,1.86019,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.36672, ""eig_by_target"": {""0"": 0.61973, ""1"": 1.0064, ""2"": 1.36672, ""3"": 0.92147, ""4"": 0.5743}}"
cancer,named,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,3.8773,46,1.81945,0.0001,1.81935,0.99999,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.64606, ""eig_by_target"": {""0"": 0.36243, ""1"": 0.97785, ""2"": 1.64606, ""3"": 1.16959, ""4"": 0.79835}}"
cancer,named,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260820,1,2,3.8773,26,2.48571,0.46397,2.02174,0.89662,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.63075, ""eig_by_target"": {""0"": 0.54274, ""1"": 1.08625, ""2"": 1.63075, ""3"": 0.85599, ""4"": 0.63083}}"
cancer,named,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260820,1,2,3.8773,36,1.11999,0.328,0.79199,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.11841, ""eig_by_target"": {""0"": 0.02138, ""1"": 0.54236, ""2"": 1.11841, ""3"": 0.88852, ""4"": 0.01327}}"
cancer,shared,20260820T064424Z,probe_skel_only,none,-1,20260820,1,2,3.8773,4,1.09861,0.0,1.09861,1.0,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.63651, ""2"": 1.09861, ""3"": 0.69428}}"
cancer,shared,20260820T064424Z,probe_random_edits,none,-1,20260820,1,2,3.8773,48,2.07728,0.92788,1.1494,0.61536,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.7099, ""eig_by_target"": {""0"": 0.60508, ""1"": 1.37853, ""2"": 1.7099, ""3"": 1.66813, ""4"": 0.8841}}"
cancer,anon,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260820,1,2,3.8773,28,2.51688,0.46397,2.05291,0.89662,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.65794, ""eig_by_target"": {""0"": 0.57253, ""1"": 1.09103, ""2"": 1.65794, ""3"": 0.88716, ""4"": 0.66102}}"
cancer,anon,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260820,1,2,3.8773,48,1.389,1.00093,0.38807,0.58904,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.98466, ""eig_by_target"": {""0"": 0.0027, ""1"": 0.92633, ""2"": 0.98466, ""3"": 0.83969, ""4"": 0.47217}}"
cancer,anon,20260820T064424Z,probe,gpt-5.4-mini,-1,20260820,1,2,3.8773,36,1.11999,0.328,0.79199,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.11841, ""eig_by_target"": {""0"": 0.02138, ""1"": 0.54236, ""2"": 1.11841, ""3"": 0.88852, ""4"": 0.01327}}"
cancer,anon,20260820T064424Z,probe,claude-haiku-4.5,-1,20260820,1,2,3.8773,18,2.18819,0.328,1.86019,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.36672, ""eig_by_target"": {""0"": 0.61973, ""1"": 1.0064, ""2"": 1.36672, ""3"": 0.92147, ""4"": 0.5743}}"
cancer,anon,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260820,1,2,3.8773,12,2.18819,0.328,1.86019,0.92198,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.36672, ""eig_by_target"": {""0"": 0.61973, ""1"": 1.0064, ""2"": 1.36672, ""3"": 0.92147, ""4"": 0.5743}}"
cancer,shared,20260820T064424Z,pc_greedy_meek,none,-1,20260821,1,1,5.2509,,,,,,0.66667,,2,0,
cancer,named,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260821,1,1,5.2509,40,1.70412,0.01228,1.69183,0.99858,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.58502, ""eig_by_target"": {""0"": 0.84064, ""1"": 1.58502, ""2"": 0.3062, ""3"": 0.78826, ""4"": 0.87988}}"
cancer,named,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260821,1,1,5.2509,48,2.40553,0.56923,1.8363,0.74802,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.10847, ""eig_by_target"": {""0"": 0.94571, ""1"": 2.10847, ""2"": 0.61791, ""3"": 1.85494, ""4"": 1.00567}}"
cancer,named,20260820T064424Z,probe,gpt-5.4-mini,-1,20260821,1,1,5.2509,12,1.76329,0.80247,0.96082,0.71044,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.12099, ""eig_by_target"": {""0"": 0.01337, ""1"": 1.12099, ""2"": 0.01396, ""3"": 0.53413, ""4"": 0.70241}}"
cancer,named,20260820T064424Z,probe,claude-haiku-4.5,-1,20260821,1,1,5.2509,28,1.96217,0.5691,1.39308,0.74803,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.67763, ""eig_by_target"": {""0"": 0.97261, ""1"": 1.67763, ""2"": 0.61622, ""3"": 0.95475, ""4"": 1.13802}}"
cancer,named,20260820T064424Z,probe,gemini-3-flash-preview,-1,20260821,1,0,2.8346,36,0.26864,0.0,0.26864,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.26864, ""eig_by_target"": {""0"": 0.26864, ""1"": 0.26767, ""2"": 0.26863, ""3"": 0.25081, ""4"": 0.22866}}"
cancer,shared,20260820T064424Z,probe_skel_only,none,-1,20260821,1,1,5.2509,4,1.09861,0.0,1.09861,1.0,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 1.09861, ""3"": 0.57875, ""4"": 0.57875}}"
cancer,shared,20260820T064424Z,probe_random_edits,none,-1,20260821,1,3,7.6951,48,1.86872,1.10836,0.76036,0.33291,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.69339, ""eig_by_target"": {""0"": 0.88174, ""1"": 1.61839, ""2"": 0.61448, ""3"": 1.69339, ""4"": 1.04475}}"
cancer,shared,20260820T064424Z,probe_oracle_edits,none,-1,20260821,1,0,2.8346,36,0.26864,0.0,0.26864,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.26864, ""eig_by_target"": {""0"": 0.26864, ""1"": 0.26767, ""2"": 0.26863, ""3"": 0.25081, ""4"": 0.22866}}"
cancer,anon,20260820T064424Z,probe,qwen3-coder-30b-a3b-instruct,-1,20260821,1,1,5.2509,30,1.44142,1.07815,0.36327,0.62212,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.08902, ""eig_by_target"": {""0"": 0.05417, ""1"": 1.08902, ""2"": 0.46486, ""3"": 0.91599, ""4"": 0.80055}}"
cancer,anon,20260820T064424Z,probe,gpt-4o-mini-2024-07-18,-1,20260821,1,1,5.2509,28,1.96217,0.5691,1.39308,0.74803,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.67763, ""eig_by_target"": {""0"": 0.97261, ""1"": 1.67763, ""2"": 0.61622, ""3"": 0.95475, ""4"": 1.13802}}"
cancer,anon,20260820T064424Z,probe,gpt-5.4-mini,-1,20260821,1,1,5.2509,28,1.39679,0.01058,1.38621,0.99875,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.39366, ""eig_by_target"": {""0"": 0.65813, ""1"": 1.39366, ""2"": 0.00877, ""3"": 0.48095, ""4"": 0.5726}}"
cancer,anon,20260820T064424Z,probe,claude-haiku-4.5,-1,20260821,1,1,5.2509,30,1.83265,0.01849,1.81417,0.99735,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.48607, ""eig_by_target"": {""0"": 0.89731, ""1"": 1.48607, ""2"": 0.43707, ""3"": 1.36909, ""4"": 1.00859}}"
