arm,model_tag,level,n,directed_f1,truth_in_hypotheses
llm_e2e,gpt-4o-mini-2024-07-18,0,20,0.000 ±0.000,—
llm_e2e,gpt-4o-mini-2024-07-18,1,20,0.000 ±0.000,—
llm_e2e,gpt-4o-mini-2024-07-18,2,20,0.000 ±0.000,—
llm_e2e,gpt-4o-mini-2024-07-18,3,20,0.000 ±0.000,—
llm_e2e,qwen3-coder-30b-a3b-instruct,0,20,0.314 ±0.090,—
llm_e2e,qwen3-coder-30b-a3b-instruct,1,20,0.211 ±0.071,—
llm_e2e,qwen3-coder-30b-a3b-instruct,2,20,0.158 ±0.070,—
llm_e2e,qwen3-coder-30b-a3b-instruct,3,20,0.127 ±0.039,—
oracle,none,0,20,1.000 ±0.000,—
oracle,none,1,20,1.000 ±0.000,—
oracle,none,2,20,1.000 ±0.000,—
oracle,none,3,20,1.000 ±0.000,—
pc_greedy,none,0,20,0.717 ±0.121,—
pc_greedy,none,1,20,0.931 ±0.043,—
pc_greedy,none,2,20,0.940 ±0.036,—
pc_greedy,none,3,20,0.883 ±0.056,—
pc_greedy_meek,none,0,20,0.717 ±0.121,—
pc_greedy_meek,none,1,20,0.922 ±0.048,—
pc_greedy_meek,none,2,20,0.952 ±0.030,—
pc_greedy_meek,none,3,20,0.903 ±0.047,—
probe,gpt-4o-mini-2024-07-18,0,20,0.980 ±0.021,0.850 ±0.161
probe,gpt-4o-mini-2024-07-18,1,20,0.966 ±0.035,0.750 ±0.195
probe,gpt-4o-mini-2024-07-18,2,20,0.935 ±0.041,0.550 ±0.224
probe,gpt-4o-mini-2024-07-18,3,20,0.932 ±0.034,0.350 ±0.214
probe,qwen3-coder-30b-a3b-instruct,0,20,0.944 ±0.047,0.700 ±0.206
probe,qwen3-coder-30b-a3b-instruct,1,20,0.991 ±0.012,0.900 ±0.135
probe,qwen3-coder-30b-a3b-instruct,2,20,0.949 ±0.038,0.700 ±0.206
probe,qwen3-coder-30b-a3b-instruct,3,20,0.937 ±0.031,0.350 ±0.214
probe_llm_graphs,gpt-4o-mini-2024-07-18,0,20,0.476 ±0.103,0.050 ±0.098
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,20,0.690 ±0.099,0.100 ±0.135
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,20,0.759 ±0.076,0.200 ±0.180
probe_llm_graphs,gpt-4o-mini-2024-07-18,3,20,0.671 ±0.074,0.050 ±0.098
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,0,20,0.507 ±0.169,0.250 ±0.195
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,20,0.744 ±0.091,0.300 ±0.206
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,20,0.755 ±0.078,0.250 ±0.195
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,3,19,0.670 ±0.075,0.000 ±0.000
probe_marginal,gpt-4o-mini-2024-07-18,0,20,0.980 ±0.021,0.850 ±0.161
probe_marginal,gpt-4o-mini-2024-07-18,1,20,0.966 ±0.035,0.750 ±0.195
probe_marginal,gpt-4o-mini-2024-07-18,2,20,0.935 ±0.041,0.550 ±0.224
probe_marginal,gpt-4o-mini-2024-07-18,3,20,0.929 ±0.038,0.350 ±0.214
probe_marginal,qwen3-coder-30b-a3b-instruct,0,20,0.944 ±0.047,0.700 ±0.206
probe_marginal,qwen3-coder-30b-a3b-instruct,1,20,0.991 ±0.012,0.900 ±0.135
probe_marginal,qwen3-coder-30b-a3b-instruct,2,20,0.952 ±0.035,0.700 ±0.206
probe_marginal,qwen3-coder-30b-a3b-instruct,3,20,0.934 ±0.036,0.350 ±0.214
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,0,20,0.952 ±0.071,0.850 ±0.161
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,1,20,0.966 ±0.035,0.750 ±0.195
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,2,20,0.938 ±0.042,0.550 ±0.224
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,3,20,0.932 ±0.034,0.350 ±0.214
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,0,20,0.916 ±0.080,0.700 ±0.206
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,1,20,0.987 ±0.014,0.900 ±0.135
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,2,20,0.949 ±0.038,0.700 ±0.206
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,3,20,0.937 ±0.031,0.350 ±0.214
probe_mec_only,none,0,20,0.660 ±0.118,0.300 ±0.206
probe_mec_only,none,1,20,0.939 ±0.047,0.650 ±0.214
probe_mec_only,none,2,20,0.954 ±0.028,0.550 ±0.224
probe_mec_only,none,3,20,0.914 ±0.044,0.300 ±0.206
probe_no_bic,gpt-4o-mini-2024-07-18,0,20,0.953 ±0.032,0.850 ±0.161
probe_no_bic,gpt-4o-mini-2024-07-18,1,20,0.923 ±0.050,0.750 ±0.195
probe_no_bic,gpt-4o-mini-2024-07-18,2,20,0.919 ±0.042,0.550 ±0.224
probe_no_bic,gpt-4o-mini-2024-07-18,3,20,0.917 ±0.037,0.350 ±0.214
probe_no_bic,qwen3-coder-30b-a3b-instruct,0,20,0.921 ±0.030,0.700 ±0.206
probe_no_bic,qwen3-coder-30b-a3b-instruct,1,20,0.943 ±0.028,0.900 ±0.135
probe_no_bic,qwen3-coder-30b-a3b-instruct,2,20,0.929 ±0.037,0.700 ±0.206
probe_no_bic,qwen3-coder-30b-a3b-instruct,3,20,0.915 ±0.042,0.350 ±0.214
probe_no_update,gpt-4o-mini-2024-07-18,0,20,0.436 ±0.114,0.850 ±0.161
probe_no_update,gpt-4o-mini-2024-07-18,1,20,0.696 ±0.072,0.750 ±0.195
probe_no_update,gpt-4o-mini-2024-07-18,2,20,0.786 ±0.081,0.550 ±0.224
probe_no_update,gpt-4o-mini-2024-07-18,3,20,0.778 ±0.072,0.350 ±0.214
probe_no_update,qwen3-coder-30b-a3b-instruct,0,20,0.414 ±0.117,0.700 ±0.206
probe_no_update,qwen3-coder-30b-a3b-instruct,1,20,0.720 ±0.058,0.900 ±0.135
probe_no_update,qwen3-coder-30b-a3b-instruct,2,20,0.802 ±0.077,0.700 ±0.206
probe_no_update,qwen3-coder-30b-a3b-instruct,3,20,0.788 ±0.065,0.350 ±0.214
probe_noreserve,gpt-4o-mini-2024-07-18,0,20,0.948 ±0.030,0.600 ±0.220
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,0.896 ±0.029,0.050 ±0.098
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,0.882 ±0.038,0.000 ±0.000
probe_noreserve,gpt-4o-mini-2024-07-18,3,20,0.851 ±0.038,0.000 ±0.000
probe_noreserve,qwen3-coder-30b-a3b-instruct,0,20,0.906 ±0.047,0.400 ±0.220
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,0.920 ±0.031,0.200 ±0.180
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,0.917 ±0.035,0.200 ±0.180
